id,category,BLEU,ROUGE_L,LengthScore,OverallScore
1,HR Query,0.2135,0.5098,0.9388,47.71
2,HR Query,0.0121,0.3158,0.5797,24.71
3,HR Query,0.0182,0.2326,0.64,22.83
4,HR Query,0.0188,0.2222,0.4122,17.88
5,HR Query,0.021,0.2137,0.8676,26.74
6,HR Query,0.0389,0.3043,0.5431,24.59
7,HR Query,0.3353,0.5926,0.9245,55.61
8,HR Query,0.0477,0.3026,0.7738,29.49
9,HR Query,0.0083,0.2449,0.5366,20.86
10,HR Query,0.0204,0.22,0.6496,22.61
11,HR Query,0.2211,0.4066,0.98,44.71
12,HR Query,0.2161,0.3686,0.9281,41.95
13,HR Query,0.116,0.2894,0.5793,27.8
14,HR Query,0.2537,0.4697,0.9572,48.08
15,HR Query,0.2289,0.4409,0.8557,43.91
16,HR Query,0.1626,0.3352,0.852,36.95
17,HR Query,0.2035,0.4314,0.9143,43.68
18,HR Query,0.1628,0.3627,0.9091,39.21
19,HR Query,0.1434,0.3077,0.8872,35.79
20,HR Query,0.1164,0.2479,0.9573,33.72
21,Feature Request,0.184,0.4433,0.7339,39.77
22,Feature Request,0.2955,0.4906,0.8142,47.73
24,Feature Request,0.1724,0.4174,0.8512,40.62
25,Feature Request,0.1481,0.3346,0.5625,30.56
26,Feature Request,0.1111,0.3649,0.689,32.82
27,Feature Request,0.1611,0.3426,0.6597,33.34
28,Feature Request,0.1286,0.3617,0.8176,35.96
29,Feature Request,0.1194,0.3071,0.7107,31.27
30,Feature Request,0.1725,0.3466,0.8231,37.23
31,Customer Complaint,0.1612,0.3119,0.8087,35.1
32,Customer Complaint,0.1268,0.392,0.6095,32.94
34,Customer Complaint,0.0755,0.269,1.0,33.78
